Name	Source	CR	Type	Size	PP	Image	Token	Named
Ancient Brass Dragon	Basic Rules (2014)	20	Dragon	G				FALSE
Ancient Bronze Dragon	Basic Rules (2014)	22	Dragon	G				FALSE
Ancient Cave Dragon	Tome of Beasts 1	25	Dragon	G				FALSE
Ancient Construct	Princes of the Apocalypse	4	Construct	L				FALSE
Ancient Copper Dragon	Basic Rules (2014)	21	Dragon	G				FALSE
Ancient Corpse Walker	Lairs of Etharis	10	Undead	L				FALSE
Ancient Crystal Dragon	Fizban's Treasury of Dragons	19	Dragon	G				FALSE
Ancient Deep Crow	Acquisitions Incorporated	15	Monstrosity	H				FALSE
Ancient Deep Dragon	Fizban's Treasury of Dragons	18	Dragon	G				FALSE
Ancient Delerium Dragon	Monsters of Drakkenheim	25	Dragon	G				FALSE
Ancient Dragon Turtle	Fizban's Treasury of Dragons	24	Dragon	G				FALSE
Ancient Emerald Dragon	Fizban's Treasury of Dragons	21	Dragon	G				FALSE
Ancient Flame Dragon	Tome of Beasts 1	23	Dragon	G				FALSE
Ancient Gold Dragon	Basic Rules (2014)	24	Dragon	G				FALSE
Ancient Green Dragon	Basic Rules (2014)	22	Dragon	G				FALSE
Ancient Lunar Dragon	Spelljammer: Adventures in Space	19	Dragon	G				FALSE
Ancient Mithral Dragon	Tome of Beasts 1	22	Dragon	G				FALSE
Ancient Moonstone Dragon	Fizban's Treasury of Dragons	21	Dragon	G				FALSE
Ancient Red Dragon	Basic Rules (2014)	24	Dragon	G				FALSE
Ancient Sapphire Dragon	Fizban's Treasury of Dragons	22	Dragon	G				FALSE
Ancient Sea Dragon	Tome of Beasts 1	23	Dragon	G				FALSE
Ancient Sea Serpent	Fizban's Treasury of Dragons	14	Dragon	G				FALSE
Ancient Silver Dragon	Basic Rules (2014)	23	Dragon	G				FALSE
Ancient Solar Dragon	Spelljammer: Adventures in Space	21	Dragon	G				FALSE
Ancient Spirit Dragon	Forgotten Realms: Adventures in Faerûn	22	Dragon	G				FALSE
Ancient Time Dragon	Planescape: Adventures in the Multiverse	26	Dragon	G				FALSE
Ancient Titan	Tome of Beasts 1	12	Celestial	G				FALSE
Ancient Topaz Dragon	Fizban's Treasury of Dragons	20	Dragon	G				FALSE
Ancient Void Dragon	Tome of Beasts 1	24	Dragon	G				FALSE
Ancient White Dragon	Basic Rules (2014)	20	Dragon	G				FALSE
Ancient Wind Dragon	Tome of Beasts 1	21	Dragon	G				FALSE
Andras	Infernal Machine Rebuild	8	Humanoid	M				TRUE
Android	Quests from the Infinite Staircase	5	Construct	M				FALSE
Androsphinx	Basic Rules (2014)	17	Monstrosity	L				FALSE
Angatra	Tome of Beasts 1	6	Undead	M				FALSE
Angel of Empyreus	Lairs of Etharis	22	Celestial	L				FALSE
Angler Worm	Tome of Beasts 1	4	Monstrosity	H				FALSE
Angry Sorrowsworn	Mordenkainen Presents: Monsters of the Multiverse	13	Monstrosity	M				FALSE
Anhkolox	Dragonlance: Shadow of the Dragon Queen	9	Undead	H				FALSE
Animated Armor	Basic Rules (2014)	1	Construct	M				FALSE
Animated Armor Detention Drone	The Book of Many Things	1	Construct	M				FALSE
Animated Ballista	Waterdeep: Dungeon of the Mad Mage	2	Construct	L				FALSE
Animated Breath	Fizban's Treasury of Dragons	6	Elemental	L				FALSE
Animated Breath (Acid Form)	Fizban's Treasury of Dragons	6	Elemental	L				FALSE
Animated Breath (Cold Form)	Fizban's Treasury of Dragons	6	Elemental	L				FALSE
Animated Breath (Fire Form)	Fizban's Treasury of Dragons	6	Elemental	L				FALSE
Animated Breath (Lightning Form)	Fizban's Treasury of Dragons	6	Elemental	L				FALSE
Animated Breath (Poison Form)	Fizban's Treasury of Dragons	6	Elemental	L				FALSE
Animated Broom	Candlekeep Mysteries	0.25	Construct	S				FALSE
Animated Chained Library	Candlekeep Mysteries	1	Construct	L				FALSE
Animated Delerium Sludge	Monsters of Drakkenheim	5	Elemental	L				FALSE
Animated Glass Statue	Critical Role: Call of the Netherdeep	1	Construct	L				FALSE
Animated Halberd	Curse of Strahd	0.25	Construct	S				FALSE
Animated Knife	Explorer's Guide to Wildemount	0.125	Construct	T				FALSE
Animated Slime	Humblewood Tales	2	Ooze	M				FALSE
Animated Staff of Frost	Waterdeep: Dungeon of the Mad Mage	4	Construct	M				FALSE
Animated Statue	Waterdeep: Dungeon of the Mad Mage	12	Construct	M				FALSE
Animated Stove	Waterdeep: Dungeon of the Mad Mage	3	Construct	L				FALSE
Animated Table	Tales from the Yawning Portal	2	Construct	L				FALSE
Animated Tree	Explorer's Guide to Wildemount	9	Plant	H				FALSE
Animatronic Allosaurus	Keys from the Golden Vault	2	Construct	L				FALSE
Ankheg	Basic Rules (2014)	2	Monstrosity	L				FALSE
Ankylosaurus	Basic Rules (2014)	3	Beast	H				FALSE
Ankylosaurus Zombie	Tomb of Annihilation	3	Undead	H				FALSE
Annelidast	Tome of Beasts 1	12	Monstrosity	H				FALSE
Annis Hag	Mordenkainen Presents: Monsters of the Multiverse	6	Fey	L				FALSE
Annominc	Tales from the Shadows	1	Fiend	M				FALSE
Anomollusk	Monsters of Drakkenheim	8	Monstrosity	H				FALSE
Anubian	Tome of Beasts 1	2	Elemental	M				FALSE
Anvilwrought Raptor	Mythic Odysseys of Theros	0.5	Construct	T				FALSE
Apau Perape (Demon Summoning Variant)	Tome of Beasts 1	6	Fiend	L				FALSE
Apau Perape Demon	Tome of Beasts 1	6	Fiend	L				FALSE
Ape	Basic Rules (2014)	0.5	Beast	M				FALSE
Apex	Monsters of Drakkenheim	16	Monstrosity	L				TRUE
Aphemia	Mythic Odysseys of Theros	5	Monstrosity					TRUE
Apprentice Wizard	Mordenkainen Presents: Monsters of the Multiverse	0.25	Humanoid	M				TRUE
Aqualisk	The Griffon's Saddlebag: Book Two	18	Monstrosity	G				FALSE
Aquatic Dreg	Dungeons of Drakkenheim	0.5	Aberration	M				FALSE
Arachnocrat	Tales from the Shadows	5	Fiend	M				FALSE
Aranea	Forgotten Realms: Adventures in Faerûn	2	Monstrosity	M				FALSE
Arasta	Mythic Odysseys of Theros	21	Monstrosity	H				TRUE
Arboreal Grappler	Tome of Beasts 1	4	Aberration	M				TRUE
Arcanaloth	Monster Manual (2014)	12	Fiend	M				FALSE
Arcanaloth (summoner variant)	Monster Manual (2014)	12	Fiend	M				FALSE
Arcane Guardian	Tome of Beasts 1	8	Undead	M				FALSE
Arcane Wraith	Monsters of Drakkenheim	6	Undead	M				FALSE
Arch-Devil Ia’Affrat	Tome of Beasts 1	15	Fiend	L				TRUE
Archaic	Strixhaven: A Curriculum of Chaos	18	Celestial	G				FALSE
Archdruid	Mordenkainen Presents: Monsters of the Multiverse	12	Humanoid	M				FALSE
Archduke Zariel of Avernus	Baldur's Gate: Descent into Avernus	26	Fiend	L				FALSE
Archer	Mordenkainen Presents: Monsters of the Multiverse	3	Humanoid	M				FALSE
Archer Flower	The Griffon's Saddlebag: Book Two	0.5	Plant	M				FALSE
Archmage	Basic Rules (2014)	12	Humanoid	M				FALSE
Archon of Falling Stars	Mythic Odysseys of Theros	12	Celestial	M				FALSE
Archon of the Triumvirate	Guildmasters' Guide to Ravnica	14	Celestial	M				FALSE
Arclight Phoenix	Guildmasters' Guide to Ravnica	12	Elemental	M				FALSE
Arcturia	Waterdeep: Dungeon of the Mad Mage	21	Undead	M				TRUE
Aridni	Tome of Beasts 1	5	Fey	S				FALSE
Arkhan the Cruel	Baldur's Gate: Descent into Avernus	16	Humanoid	M				TRUE
Arlowene Lum	Humblewood Tales	4	Humanoid	S				TRUE
Armanite	Mordenkainen Presents: Monsters of the Multiverse	7	Fiend	L				FALSE
Armored Troglodyte	Waterdeep: Dungeon of the Mad Mage	0.25	Humanoid	M				FALSE
Arrant Quill	Candlekeep Mysteries	11	Humanoid	M				TRUE
Arrevis Fleet	Humblewood Tales	3	Humanoid	S				TRUE
Art Elemental Mascot	Strixhaven: A Curriculum of Chaos	0.25	Elemental	S				FALSE
Artus Cimber	Tomb of Annihilation	7	Humanoid	M				FALSE
Aruk Thundercaller Thuunlakalaga	Icewind Dale: Rime of the Frostmaiden	3	Humanoid	M				TRUE
Arx	Tome of Beasts 1	9	Fiend	L				FALSE
Asanbosam	Tome of Beasts 1	5	Aberration	L				FALSE
Ascendant Vladimir von Drakken	Monsters of Drakkenheim	21	Undead	L				TRUE
Ash Drake	Tome of Beasts 1	4	Dragon	S				FALSE
Ash Zombie	Lost Mine of Phandelver	0.25	Undead	M				FALSE
Asha Vandree	Out of the Abyss	2	Humanoid	M				TRUE
Ashari Firetamer	Tal'Dorei Campaign Setting Reborn	7	Humanoid	M				FALSE
Ashari Skydancer	Tal'Dorei Campaign Setting Reborn	5	Humanoid	M				FALSE
Ashari Stoneguard	Tal'Dorei Campaign Setting Reborn	7	Humanoid	M				FALSE
Ashari Waverider	Tal'Dorei Campaign Setting Reborn	5	Humanoid	M				FALSE
Asharra	Tomb of Annihilation	2	Humanoid	M				TRUE
Ashen Animated Armor	Keys from the Golden Vault	1	Elemental	M				FALSE
Ashen Flying Sword	Keys from the Golden Vault	0.25	Elemental	S				FALSE
Ashen Knight	Keys from the Golden Vault	3	Elemental	M				FALSE
Ashen Rider	Mythic Odysseys of Theros	16	Celestial	M				FALSE
Ashen Shambling Mound	Keys from the Golden Vault	5	Elemental	L				FALSE
Ashen Veteran	Keys from the Golden Vault	3	Elemental	M				FALSE
Ashen Warhorse	Keys from the Golden Vault	0.5	Elemental	L				FALSE
Ashwalker	Tome of Beasts 1	1	Undead	M				FALSE
Ashwalker (Acid)	Tome of Beasts 1	1	Undead	M				FALSE
Ashwalker (Cold)	Tome of Beasts 1	1	Undead	M				FALSE
Ashwalker (Fire)	Tome of Beasts 1	1	Undead	M				FALSE
Ashwalker (Lightning)	Tome of Beasts 1	1	Undead	M				FALSE
Ashwalker (Poison)	Tome of Beasts 1	1	Undead	M				FALSE
Aspect of Bahamut	Fizban's Treasury of Dragons	30	Dragon	G				FALSE
Aspect of Tiamat	Fizban's Treasury of Dragons	30	Dragon	G				FALSE
Aspirant of the Comet	The Book of Many Things	0.5	Humanoid	M				FALSE
Assassin	Basic Rules (2014)	8	Humanoid	M				FALSE
Assassin Vine	Tomb of Annihilation	3	Plant	L				FALSE
Aster the Thorn	Humblewood Tales	3	Humanoid	S				TRUE
Asteria	The Book of Many Things	18	Humanoid	M				TRUE
Astral Blight	Spelljammer: Adventures in Space	1	Plant	M				FALSE
Astral Dreadnought	Mordenkainen Presents: Monsters of the Multiverse	21	Monstrosity	G				FALSE
Astral Elf Aristocrat	Spelljammer: Adventures in Space	8	Humanoid	M				FALSE
Astral Elf Commander	Spelljammer: Adventures in Space	7	Humanoid	M				FALSE
Astral Elf Honor Guard	Spelljammer: Adventures in Space	5	Humanoid	M				FALSE
Astral Elf Star Priest	Spelljammer: Adventures in Space	5	Humanoid	M				FALSE
Astral Elf Warrior	Spelljammer: Adventures in Space	3	Humanoid	M				FALSE
Astyrranthor	Waterdeep: Dungeon of the Mad Mage	17	Dragon	H				TRUE
Athar Null	Planescape: Adventures in the Multiverse	5	Humanoid	M				FALSE
Atropal	Tomb of Annihilation	13	Undead	H				FALSE
Augrek Brighthelm	Storm King's Thunder	0	Humanoid	M				FALSE
Aurak Draconian	Dragonlance: Shadow of the Dragon Queen	6	Monstrosity	M				FALSE
Aurelia	Guildmasters' Guide to Ravnica	23	Celestial	M				TRUE
Auril (First Form)	Icewind Dale: Rime of the Frostmaiden	9	Monstrosity	M				TRUE
Auril (Second Form)	Icewind Dale: Rime of the Frostmaiden	10	Elemental	L				TRUE
Auril (Third Form)	Icewind Dale: Rime of the Frostmaiden	11	Elemental	S				TRUE
Aurnozci	The Book of Many Things	22	Fiend	G				TRUE
Aurochs	Mordenkainen Presents: Monsters of the Multiverse	2	Beast	L	10	https://www.dndbeyond.com/avatars/thumbnails/25746/150/1000/1000/637880557153896045.jpeg	5wmwy	FALSE
Aurumach Rilmani	Planescape: Adventures in the Multiverse	17	Celestial	L				FALSE
Aurumvorax	Journeys through the Radiant Citadel	2	Monstrosity	S				FALSE
Aurumvorax Den Leader	Journeys through the Radiant Citadel	4	Monstrosity	M				FALSE
Auspicia Dran	Acquisitions Incorporated	2	Humanoid	M				FALSE
Autognome	Spelljammer: Adventures in Space	2	Construct	S				FALSE
Automata Devil	Tome of Beasts 1	10	Fiend	L				FALSE
Autumn Eladrin	Mordenkainen's Tome of Foes	10	Fey	M				FALSE
Avarice	Icewind Dale: Rime of the Frostmaiden	7	Humanoid	M				TRUE
Avarice Seraph	Lairs of Etharis	14	Celestial	L				FALSE
Avatar of Death	Dungeon Master's Guide (2014)	0	Undead	M				FALSE
Avi	Waterdeep: Dragon Heist	2	Humanoid	M				TRUE
Avoral Guardinal	Planescape: Adventures in the Multiverse	9	Celestial	M				FALSE
Awakened Chapped Brute	Lairs of Etharis	7	Monstrosity	L				FALSE
Awakened Shrub	Basic Rules (2014)	0	Plant	S				FALSE
Awakened Tree	Basic Rules (2014)	2	Plant	H				FALSE
Awakened White Moose	Icewind Dale: Rime of the Frostmaiden	3	Beast	L				FALSE
Awakened Zurkhwood	Out of the Abyss	2	Plant	H				FALSE
Axe Beak	Basic Rules (2014)	0.25	Beast	L				FALSE
Axe of Mirabar Veteran	Storm King's Thunder	3	Humanoid	M				FALSE
Ayo Jabe (Tier 1)	Critical Role: Call of the Netherdeep	3	Humanoid	M				TRUE
Ayo Jabe (Tier 2)	Critical Role: Call of the Netherdeep	5	Humanoid	M				TRUE
Ayo Jabe (Tier 3)	Critical Role: Call of the Netherdeep	8	Humanoid	M				TRUE
Azbara Jos	Tyranny of Dragons	4	Humanoid	M				TRUE
Azer	Basic Rules (2014)	2	Elemental	M				FALSE
Azza Gremlin	Tome of Beasts 1	0.25	Fey	S				FALSE
B’rohg	Spelljammer: Adventures in Space	6	Giant	H				FALSE
Baaz Draconian	Dragonlance: Shadow of the Dragon Queen	0.5	Monstrosity	M				FALSE
Baba Lysaga	Curse of Strahd	11	Humanoid	M				TRUE
Baba Lysaga’s Creeping Hut	Curse of Strahd	11	Construct	G				TRUE
Baba Yaga’s Horseman (Black Night)	Tome of Beasts 1	11	Fey	M				FALSE
Baba Yaga’s Horseman (Bright Day)	Tome of Beasts 1	11	Fey	M				FALSE
Baba Yaga’s Horseman (Red Sun)	Tome of Beasts 1	11	Fey	M				FALSE
Baba Yaga’s Horsemen	Tome of Beasts 1	11	Fey	M				FALSE
Babau	Mordenkainen Presents: Monsters of the Multiverse	4	Fiend	M				FALSE
Baboon	Basic Rules (2014)	0	Beast	S	11		gnd6n	FALSE
Badger	Basic Rules (2014)	0	Beast	T	11	https://www.dndbeyond.com/avatars/thumbnails/43938/902/1000/1000/638607409157242443.png	n2j44	FALSE
Bael	Mordenkainen Presents: Monsters of the Multiverse	19	Fiend	L				TRUE
Baernaloth	Planescape: Adventures in the Multiverse	17	Fiend	L				FALSE
Bag Jelly	Bigby Presents: Glory of the Giants	1	Ooze	M				FALSE
Bag of Nails	Tomb of Annihilation	8	Humanoid	M				FALSE
Bagiennik	Tome of Beasts 1	3	Aberration	M				FALSE
Bak Mei	Candlekeep Mysteries	13	Humanoid	M				TRUE
Bakunawa	Journeys through the Radiant Citadel	12	Dragon	G				FALSE
Balhannoth	Mordenkainen's Tome of Foes	11	Aberration	L				FALSE
Balor	Basic Rules (2014)	19	Fiend (demon)	H	19	https://www.dndbeyond.com/avatars/thumbnails/30781/600/1000/1000/638061930825811285.png	n2j44	FALSE
Balor (Summoner Variant)	Monster Manual (2014)	19	Fiend	H		https://www.dndbeyond.com/avatars/thumbnails/30781/600/1000/1000/638061930825811285.png	n2j44	FALSE
Banderhobb	Volo's Guide to Monsters	5	Monstrosity	L	10	https://5e.tools/img/bestiary/MPMM/Banderhobb.webp	6vnb9	FALSE
Bandit	Basic Rules (2014)	0.125	Humanoid	M				FALSE
Bandit Captain	Basic Rules (2014)	2	Humanoid	M				FALSE
Bandit Lord	Tome of Beasts 1	4	Humanoid	M				FALSE
Banshee	Basic Rules (2014)	4	Undead	M	10	https://www.dndbeyond.com/avatars/thumbnails/30761/972/1000/1000/638061101973584758.png	nzq2a	FALSE
Baphomet	Mordenkainen Presents: Monsters of the Multiverse	23	Fiend	H				TRUE
Bar Brawl	Tales from the Shadows	3	Humanoid	H				FALSE
Barbatos	Infernal Machine Rebuild	6	Humanoid	M				TRUE
Barbed Devil	Basic Rules (2014)	5	Fiend (devil)	M	18	https://www.dndbeyond.com/avatars/thumbnails/30781/992/1000/1000/638061947419365746.png	9cuts	FALSE
Barbed Devil (Summoner Variant)	Monster Manual (2014)	5	Fiend	M				FALSE
Bard	Mordenkainen Presents: Monsters of the Multiverse	2	Humanoid	M				FALSE
Bardic Merchant	The Griffon's Saddlebag: Book Two	1	Humanoid	M				FALSE
Barghest	Mordenkainen Presents: Monsters of the Multiverse	4	Fiend	L				FALSE
