name	description	author	written	rarity	language	type	base_work	tags	read_bonus	image	content_link
A Wayfarer's Belt-Book of Advice	Rasthiavar of Iriaebor distilled decades of caravan work into pocket-sized counsel — how to pick guards, when to bribe tollkeepers, and why sleeping in armour saves more lives than any spell.\n\nThe belt-book is literally sized to tuck under a sword belt; margins are crowded with additions in other hands, suggesting it passed through many experienced travellers.	Rasthiavar of Iriaebor	1282 DR	common	Common	original		travel,advice,north	0		https://forgottenrealms.fandom.com/wiki/A_Wayfarer%27s_Belt-Book_of_Advice
A Historical Treatise of Dragonspear Castle	A military historian traces Dragonspear Castle from its founding as a fortified waystation through sieges, abandonment, and its recurring role as a rallying point for devils and cultists.\n\nThe treatise argues that whoever holds the castle controls not a fortress alone but the morale of every caravan crossing the Trade Way.	Unknown	1370 DR	uncommon	Common	original		dragonspear,history,war	0		https://forgottenrealms.fandom.com/wiki/A_Historical_Treatise_of_Dragonspear_Castle
Elminster's Travels Along the Sword Coast	The Old Mage records journeys taken when he still walked openly among mortals — observations on coastal politics, archmages in hiding, and the small kindnesses that keep civilisation from unraveling.\n\nThe tone shifts between travel diary and sermon; Elminster insists he wrote for future Harpers, not for publication, yet copies circulate in scriptoria from Baldur's Gate to Neverwinter.	Elminster	1200 DR	very rare	Common	original		sword_coast,history,travel	0		https://forgottenrealms.fandom.com/wiki/Elminster%27s_Travels_Along_the_Sword_Coast
A Guide to the Cold North	Alagond of Tashluta wrote for merchants who treat the Frontier as a summer excursion — layering furs, judging ice thickness, and recognising the grey pallor that precedes fatal exposure.\n\nThe guide's appendix on frozen-ground burial rites is copied in nearly every caravan master's chest; southerners who skip it are often the ones found upright in snowdrifts come spring.	Alagond, sage of Tashluta	1350 DR	common	Common	original		north,geography,nature	0		https://forgottenrealms.fandom.com/wiki/A_Guide_to_the_Cold_North
Trail Tales of the North	Jhalivar Thrunn collected first-person accounts from trappers, scouts, and refugees who crossed the Evermoors and lived — though not always intact — to tell of it.\n\nThe earliest edition at Candlekeep bears water stains and a note that two tales were added in a hand Thrunn disowned; readers still argue which stories he wished to suppress.	Jhalivar Thrunn	1197 DR	common	Common	original		north,adventure,travel	0		https://forgottenrealms.fandom.com/wiki/Trail_Tales_of_the_North
Secret Societies of the Sword Coast: Exposed	An anonymous pamphlet naming cults, trade cabals, and masked clubs operating from Baldur's Gate to Scornubel — with dates, meeting signs, and the author's repeated insistence that he expects assassination.\n\nSeveral entries are clearly wrong; others match Harper intelligence closely enough that scholars debate whether the writer was a traitor, a hero, or both.	Unknown	1490 DR	rare	Common	original		sword_coast,intrigue,history	0	https://static.wikia.nocookie.net/forgottenrealms/images/6/6b/Secret_Societies.png/revision/latest/scale-to-width-down/375?cb=20230614112929	https://forgottenrealms.fandom.com/wiki/Secret_Societies_of_the_Sword_Coast:_Exposed
The North: Guide to the Savage Frontier	A comprehensive gazetteer produced by a council of sages — less colourful than Volo, more exhaustive on geography, demographics, and the political balance between Luskan, Neverwinter, and the dwarf holds.\n\nBoxed sets of maps once accompanied the text; surviving copies without maps still command high prices at Candlekeep.	Various sages of the North	1358 DR	uncommon	Common	original		north,geography,history	0	https://d1vzi28wh99zvq.cloudfront.net/images/44/17543-thumb140.jpg	https://www.dmsguild.com/product/17543/The-North-Guide-to-the-Savage-Frontier-2e
A Brief History of the Dessarin	A frontier chronicle from Triboar traders — river commerce, orc raids through the Stone Bridge gap, and the slow spread of hamlets along the Long Road.\n\nThe author apologises for omitting elven histories prior to human logging, noting that some elders still refuse to speak of the valley's deeper past.	Anonymous scribe of Triboar	1480 DR	common	Common	original		history,dessarin,trade	0		
A Harper's Companion	Cressaed Wood compiled three volumes of practical counsel for Harper agents — ciphers, cover identities, and the unglamorous work of listening in market squares.\n\nThe third volume is said to list safe houses along the Long Road and the Dessarin; complete sets are kept under lock at Herald's Hall and Silverymoon's High Palace.	Cressaed Wood	1200 DR	rare	Common	original		harpers,history,intrigue	0		https://forgottenrealms.fandom.com/wiki/A_Harper%27s_Companion
A Harper's Song	Alustriel Silverhand's lyrical meditation on duty, loss, and the Harper code — part poetry, part memoir, and wholly unsuitable for public performance without training in coded verse.\n\nBards who recite it badly have been known to summon Harper auditors; those who recite it well sometimes receive invitations they cannot refuse.	Alustriel Silverhand	1284 DR	rare	Common	original		harpers,music,philosophy	0		https://forgottenrealms.fandom.com/wiki/A_Harper%27s_Song
Arglauth's Guide to the North	Arglauth Melroryrr of Mulmaster wrote for eastern readers who trade with the Frontier but rarely travel it — a sober counterweight to Volo's colour and Elminster's asides.\n\nThe guide emphasises Zhentarim influence, Luskan's naval reach, and the economic choke points where a single burned bridge can starve a city.	Arglauth Melroryrr, Sage of Mulmaster	1330 DR	uncommon	Common	original		north,geography,trade	0		https://forgottenrealms.fandom.com/wiki/Arglauth%27s_Guide_to_the_North
Architects Arcane: Waterdeep and the Sword Coast North	Paerl Nhesch documents warded foundations, floating spires, and the guild disputes that decide whether a tower may cast shadow on a neighbour's sun-court.\n\nWaterdeep's wards receive three chapters; Neverwinter's rebuilding after spellplague-era fires occupies a cautious appendix marked "subject to revision."	Paerl Nhesch	1424 DR	uncommon	Common	original		waterdeep,arcane,architecture	0		https://forgottenrealms.fandom.com/wiki/Architects_Arcane:_Waterdeep_and_the_Sword_Coast_North
Annals of Baldur's Gate	A civic chronicle tracing Baldur's Gate from flint palisades to walled metropolis — duke successions, guild charters, and the recurring plague of patriar plots.\n\nLater editors appended Flaming Fist campaigns in the Outer City; purists insist the original four volumes end before the Fist became a power in its own right.	Unknown	before 1492 DR	uncommon	Common	original		baldurs_gate,history,sword_coast	0		https://forgottenrealms.fandom.com/wiki/Annals_of_Baldur%27s_Gate
The Book of the Coast	Mespert of Baldur's Gate assembled merchant contracts, harbour tariffs, and pirate amnesty proclamations into a single reference for factors sailing the Sword Coast trade.\n\nThe binding is utilitarian; margins swarm with later hands noting which clauses Lords' Alliance courts actually enforce.	Mespert of Baldur's Gate	1293 DR	common	Common	original		sword_coast,trade,law	0		https://forgottenrealms.fandom.com/wiki/The_Book_of_the_Coast
The City of Neverwinter	An anonymous survey of Neverwinter's wards, noble houses, and the Mount Hotenow shadow that hangs over civic pride — written before the city's latest rebuilding.\n\nReaders comparing editions can trace disaster after disaster in the crossed-out street maps and hastily pasted addenda.	Unknown	before 1372 DR	common	Common	original		neverwinter,geography,history	0		https://forgottenrealms.fandom.com/wiki/The_City_of_Neverwinter
History of Waterdeep	Six volumes of municipal history — from Ahghairon's founding compact through guild wars, noble lines, and the secret architectures of power beneath Mount Waterdeep.\n\nNo single author is credited; Candlekeep's copy shows three different scriptorium hands and a lacuna where a chapter on the Undermountain was razored out.	Unknown	before 1369 DR	rare	Common	original		waterdeep,history	0	https://static.wikia.nocookie.net/forgottenrealms/images/a/a8/D%26D.EotB_Waterdeep.png/revision/latest/scale-to-width-down/400?cb=20250825005801	https://forgottenrealms.fandom.com/wiki/History_of_Waterdeep
Travels Along the Sword Coast	Elminster's earlier coastal diary — less sermon, more notebook — records inns where mages pay in secrets, pirates who honour guest-right, and the small customs that keep trade flowing when law fails.\n\nThe sage claims he never intended publication; the ink stains suggest otherwise.	Elminster of Shadowdale	1357 DR	very rare	Common	original		sword_coast,history,travel	0		https://forgottenrealms.fandom.com/wiki/Travels_Along_the_Sword_Coast
Beware the Lizard Marsh!	Emythene Faldree warns travellers against the Lizard Marsh east of Daggerford — saurial ruins, black dragons, and the particular stupidity of camping on mud that breathes.\n\nThe pamphlet's woodcut illustrations are crude but accurate; several editions add a prayer to Talos that reads more like a curse.	Emythene Faldree	before 1372 DR	common	Common	original		dessarin,nature,danger	0		https://forgottenrealms.fandom.com/wiki/Beware_the_Lizard_Marsh!
The Mysterious Harpers	Alamar Djelmuth's speculative history treats the Harpers as legend, conspiracy, and occasional nuisance — compiling rumours from taverns between Neverwinter and Amn.\n\nHarper agents reportedly bought and burned the first printing; surviving copies are prized by collectors who may not survive owning one.	Alamar Djelmuth	before 1369 DR	uncommon	Common	original		harpers,history,intrigue	0		https://forgottenrealms.fandom.com/wiki/The_Mysterious_Harpers
Why I Am a Harper	Belbradyn Tralaer's confessional explains why a successful merchant abandoned warehouses for coded songs and midnight rides — framed as advice to young idealists who confuse wealth with safety.\n\nThe final chapter lists debts Tralaer still owes in cities he can never visit openly again.	Belbradyn Tralaer	1366 DR	uncommon	Common	original		harpers,philosophy,history	0		https://forgottenrealms.fandom.com/wiki/Why_I_Am_a_Harper
On the Matter of Magecraft and the City: A Summary for the Lords of Waterdeep	Khelben Arunsun the Elder briefed Waterdeep's Lords on arcane regulation — which magics threaten civic order, which guilds must be watched, and why some spells are best left unnamed in open council.\n\nThe summary remains classified in many editions; leaked copies circulate with whole pages replaced by single word: "No."	Khelben Arunsun ("the Elder")	1179 DR	very rare	Common	original		waterdeep,arcane,law	0		https://forgottenrealms.fandom.com/wiki/On_the_Matter_of_Magecraft_and_the_City:_A_Summary_for_the_Lords_of_Waterdeep
The Neverwinter Wood	A naturalist's account of the forest east of Neverwinter — fey crossings, owlbear dens, and the Uthgardt taboos that forbid certain paths even in pursuit of game.\n\nThe author vanished mid-manuscript; the last pages describe lights that answered when called by name.	Unknown	before 1372 DR	common	Common	original		neverwinter,nature,myth	0		https://forgottenrealms.fandom.com/wiki/The_Neverwinter_Wood_(book)
Shields Aflame: A History of Kings and Battles of the North	Murtrosz Ondibran chronicles northern wars from Uthgardt moots to city-state alliances — with emphasis on how shield walls fail when commanders forget supply lines.\n\nBattle maps are stylised; veterans say the prose is accurate precisely where the illustrations lie.	Murtrosz Ondibran	before 1372 DR	uncommon	Common	original		north,history,war	0		https://forgottenrealms.fandom.com/wiki/Shields_Aflame:_A_History_of_Kings_and_Battles_of_the_North
Raging Blades: A Tale of the North	Halvidon Maeraed's ballad-cycle follows sellswords hired to escort a northern lord's bride — through blizzard, betrayal, and a duel fought on ice thin enough to sing.\n\nPerformed more often than read, the printed version restores verses censored in tavern renditions for fear of offending Zhent patrons.	Halvidon Maeraed, Bard of Elturel	1340 DR	common	Common	original		north,adventure,fiction	0		https://forgottenrealms.fandom.com/wiki/Raging_Blades:_A_Tale_of_the_North
Volo's Guide to the Dalelands	Volo turns east from the Coast to the Dalelands — feudal quirks, Harper-haunted forests, and the polite fiction that Dalesfolk are simple farmers rather than experienced guerrillas.\n\nElminster's notes are unusually extensive; several dale-lords reportedly offered bounties for the author's capture.	Volothamp Geddarm (annotated by Elminster)	1368 DR	uncommon	Common	original		dalelands,geography,travel	0	https://d1vzi28wh99zvq.cloudfront.net/images/44/17573-thumb140.jpg	https://www.dmsguild.com/product/17573/Volos-Guide-to-the-Dalelands-2e
Volo's Guide to Baldur's Gate	An unpublished manuscript circulated in samizdat — Volo's impressions of the Gate's patriars, Outer City grit, and which Flaming Fist officers accept bribes versus those who shoot first.\n\nVolo insists the work was suppressed by Duke's agents; critics note he never finished the chapter on the Undercellar.	Volothamp Geddarm	unpublished, c. 1492 DR	rare	Common	original		baldurs_gate,geography,travel	0	https://static.wikia.nocookie.net/forgottenrealms/images/e/e1/Volo%27s_Complete_Guide_to_the_Behaviour_of_Nymphs.png/revision/latest?cb=20211019220544	https://forgottenrealms.fandom.com/wiki/Volo%27s_Guide_to_Baldur%27s_Gate
Sword Coast Songbook	Silke Rosena collected tavern songs from Luskan to Calimport's northern ports — work chanteys, pirate refrains, and love ballads that change lyrics by city to avoid bloodshed.\n\nA folded insert lists which verses start brawls in Waterdeep versus Baldur's Gate; prudent bards memorise both.	Silke Rosena	before 1368 DR	common	Common	original		sword_coast,music,culture	0	https://static.wikia.nocookie.net/forgottenrealms/images/5/56/Red_and_gold_book_bg3.png/revision/latest/scale-to-width-down/394?cb=20231002033431	https://forgottenrealms.fandom.com/wiki/Sword_Coast_Songbook
A Modest Guide to Sword Coast Wine	A vintner's primer on coastal appellations — where sea salt helps the grape, which Neverwinter cellars age well, and why Amnian exports command prices that have nothing to do with taste.\n\nThe guide's tasting notes are honest to a fault; one Waterdeep merchant sued over the entry on his house blend.	Unknown	before 1492 DR	common	Common	original		sword_coast,trade,culture	0	https://static.wikia.nocookie.net/forgottenrealms/images/5/56/Red_and_gold_book_bg3.png/revision/latest/scale-to-width-down/394?cb=20231002033431	https://forgottenrealms.fandom.com/wiki/A_Modest_Guide_to_Sword_Coast_Wine
On Goblins: My Life Among the Conquering Host	Volo recounts weeks embedded with a goblin war band — food, hierarchy, superstition, and the uncomfortable truth that many "conquering hosts" are starving families with stolen swords.\n\nElminster appended a warning that sympathy must not blur vigilance; goblins still bite.	Volothamp Geddarm	1480 DR	uncommon	Common	original		nature,monsters,history	0		https://forgottenrealms.fandom.com/wiki/On_Goblins:_My_Life_Among_the_Conquering_Host
The Sharp Eye and Sharper Tongue: Observations of a Learned Sage	Ammathair Hawkfeather of Waterdeep documents civic absurdities — guild pride, noble feuds, and the arcane accidents that result when apprentices show off for crowds.\n\nThe tone is satirical but the facts check out; several subjects attempted to buy every copy and succeeded only in raising the price.	Ammathair Hawkfeather, Sage of Waterdeep	1359 DR	uncommon	Common	original		waterdeep,history,philosophy	0		https://forgottenrealms.fandom.com/wiki/The_Sharp_Eye_and_Sharper_Tongue:_Observations_of_a_Learned_Sage
Codicillary Rules of Engagements for the Flaming Fist	The Flaming Fist's formal rules of engagement for mercenary contracts — escalation ladders, prisoner treatment, and when an officer may refuse an employer's order without court-martial.\n\nOutsiders find the codicil dry; soldiers in the Outer City treat selected passages as scripture.	Flaming Fist High Command	before 1492 DR	uncommon	Common	original		baldurs_gate,war,law	0	https://static.wikia.nocookie.net/forgottenrealms/images/5/56/Red_and_gold_book_bg3.png/revision/latest/scale-to-width-down/394?cb=20231002033431	https://forgottenrealms.fandom.com/wiki/Codicillary_Rules_of_Engagements_for_the_Flaming_Fist
Tathaero's Short Sword Coast Chronicle	Aldreth Tathaero, scribe for hire, compiled a decade of coastal news — pirate captures, noble marriages, temple schisms, and one suspiciously detailed account of a red dragon over Triboar.\n\nTathaero disclaimers that accuracy follows payment; historians still cite the chronicle when better sources are silent.	Aldreth Tathaero, Scribe for Hire of Athkatla	1487 DR	common	Common	original		sword_coast,history,trade	0		https://forgottenrealms.fandom.com/wiki/Tathaero%27s_Short_Sword_Coast_Chronicle
Waterdeep – An Elven Diary	Malenya Brighteyes records centuries of Waterdeep as seen from immortal patience — seasons of human folly, brief friendships, and the ache of outliving every garden she planted.\n\nThe diary's elven script is annotated in Common by a later reader who marked passages "still true" with a trembling hand.	Malenya Brighteyes	before 1370 DR	rare	Elvish	original		waterdeep,history,elves	0		https://forgottenrealms.fandom.com/wiki/Waterdeep_%E2%80%93_An_Elven_Diary
Known Networks of the North	A trader's map in prose — overland routes, river links, and smuggling paths through the Evermoors that official caravans pretend not to know.\n\nThe thirteenth-century original is updated in margins by generations of merchants; some notes are in cipher, some in blood.	Unknown	13th century DR	uncommon	Common	original		north,trade,geography	0		https://forgottenrealms.fandom.com/wiki/Known_Networks_of_the_North
Lines on the North	Hommil Dundreth, merchant-mage of Hlintar, versifies trade wisdom — when to buy furs, when to sell steel, and how winter turns copper into gold for those who survive it.\n\nThe poem is taught in counting-houses; Dundreth's enemies claim he hid loan-shark rates in the metre.	Hommil Dundreth, Merchant-Mage of Hlintar	1320 DR	common	Common	original		north,trade,philosophy	0		https://forgottenrealms.fandom.com/wiki/Lines_on_the_North
Luskan Threat to Neverwinter	An intelligence brief on Luskan's naval ambitions — ship counts, Hosttower meddling, and the historical pattern of winter raids on Neverwinter's harbour.\n\nThe author is unnamed; Lord Neverember's seal appears on some copies, suggesting official sponsorship and selective distribution.	Unknown	before 1374 DR	uncommon	Common	original		neverwinter,luskan,war	0		https://forgottenrealms.fandom.com/wiki/Luskan_Threat_to_Neverwinter
Balduran Founds a City	Legend and municipal pride intertwine in this account of Balduran's voyages and the founding of Baldur's Gate — sea devils, buried treasure, and the first walls raised against the Sword Coast's chaos.\n\nHistorians note the text mixes myth with charter language; citizens note it reads well at Founders' Day feasts.	Unknown	before 1492 DR	common	Common	original		baldurs_gate,history,myth	0	https://static.wikia.nocookie.net/forgottenrealms/images/b/b8/Scroll_3_bg3.png/revision/latest/scale-to-width-down/337?cb=20250508044507	https://forgottenrealms.fandom.com/wiki/Balduran_Founds_a_City
Order of the Gauntlet: On Matters of Law and Justice	A doctrinal text for Gauntlet knights — when justice requires the sword, when mercy serves the righteous, and how to investigate evil without becoming what you hunt.\n\nFrontier chapters address orc raids, Zhent slavery, and cooperation with Flaming Fist garrisons that do not share the Order's oaths.	Order of the Gauntlet scribes	before 1492 DR	uncommon	Common	original		religion,law,war	0	https://static.wikia.nocookie.net/forgottenrealms/images/6/60/Open_book_2_bg3.png/revision/latest/scale-to-width-down/400?cb=20231109115343	https://forgottenrealms.fandom.com/wiki/Order_of_the_Gauntlet:_On_Matters_of_Law_and_Justice
Volo's Guide to Cormyr	Volo's account of Cormyr's court etiquette, Purple Dragon deployments, and the polite fiction that the Forest Kingdom is less dangerous than the Frontier.\n\nElminster's footnotes suggest Volo was escorted out of Suzail faster than he entered; the guide's tone is admiring and terrified in equal measure.	Volothamp Geddarm (annotated by Elminster)	1367 DR	uncommon	Common	original		cormyr,geography,travel	0	https://d1vzi28wh99zvq.cloudfront.net/images/44/17558-thumb140.jpg	https://www.dmsguild.com/product/17558/Volos-Guide-to-Cormyr-2e
Aurora's Whole Realms Catalogue	Aurora's famous mail-order catalogue lists goods from across Faerûn — prices, shipping times, and the occasional item whose description understates its magical properties.\n\nFrontier traders use it as a price index; collectors hunt misprinted editions where Aurora forgot to mention that a "gentleman's grooming kit" includes a wand.	Aurora	mid-14th century DR	common	Common	original		trade,commerce,catalogue	0	https://static.wikia.nocookie.net/forgottenrealms/images/e/e2/Auroracover.jpg/revision/latest/scale-to-width-down/263?cb=20240229051431	https://forgottenrealms.fandom.com/wiki/Aurora%27s_Whole_Realms_Catalogue
History of Daggerford	History of Daggerford — A chronicle preserved in northern and coastal scriptoria — dates, names, and the sort of detail merchants pretend not to need. Library catalogues list no certain author; the work is dated to before 1372 DR.\n\nLater hands added marginal dates and crossed out names; historians still argue which revisions were propaganda.	Unknown	before 1372 DR	common	Common	original		dessarin,history,geography	0		https://forgottenrealms.fandom.com/wiki/History_of_Daggerford
Illefarn	Illefarn — A chronicle preserved in northern and coastal scriptoria — dates, names, and the sort of detail merchants pretend not to need. Library catalogues list no certain author; the work is dated to before 1372 DR.\n\nLater hands added marginal dates and crossed out names; historians still argue which revisions were propaganda.	Unknown	before 1372 DR	uncommon	Common	original		history,elves,north	0	https://static.wikia.nocookie.net/forgottenrealms/images/f/f1/Neverwinter_Nights_2_Illefarn_concept_art.jpg/revision/latest/scale-to-width-down/400?cb=20220810020430	https://forgottenrealms.fandom.com/wiki/Illefarn
Legends of Icewind Dale	Legends of Icewind Dale — Legends collected from tavern verse, elder memory, and sources no scholar will swear to in court. Library catalogues list no certain author; the work is dated to before 1312 DR.\n\nEach generation adds a verse; purists claim the oldest layer is true and everything since is flattery.	Unknown	before 1312 DR	common	Common	original		north,myth,legend	0	https://static.wikia.nocookie.net/forgottenrealms/images/d/de/IWD2_white_book.png/revision/latest?cb=20221115133446	https://forgottenrealms.fandom.com/wiki/Legends_of_Icewind_Dale
Ghost of Conyberry	Ghost of Conyberry — Legends collected from tavern verse, elder memory, and sources no scholar will swear to in court. Library catalogues list no certain author; the work is dated to before 1372 DR.\n\nEach generation adds a verse; purists claim the oldest layer is true and everything since is flattery.	Unknown	before 1372 DR	common	Common	original		dessarin,myth,fiction	0		https://forgottenrealms.fandom.com/wiki/Ghost_of_Conyberry
Gorgomorz - Daggerford's Devil	Gorgomorz - Daggerford's Devil — A chronicle preserved in northern and coastal scriptoria — dates, names, and the sort of detail merchants pretend not to need. Hilgraff the Scribe is credited in library catalogues; the work is dated to 1270–1372 DR.\n\nLater hands added marginal dates and crossed out names; historians still argue which revisions were propaganda.	Hilgraff the Scribe	1270–1372 DR	uncommon	Common	original		dessarin,history,intrigue	0		https://forgottenrealms.fandom.com/wiki/Gorgomorz_-_Daggerford%27s_Devil
Darkness over Daggerford	Darkness over Daggerford — A chronicle preserved in northern and coastal scriptoria — dates, names, and the sort of detail merchants pretend not to need. Library catalogues list no certain author; the work is dated to 1372 DR.\n\nLater hands added marginal dates and crossed out names; historians still argue which revisions were propaganda.	Unknown	1372 DR	uncommon	Common	original		dessarin,history,adventure	0		https://forgottenrealms.fandom.com/wiki/Darkness_over_Daggerford
Trade Way Travel Stops	Trade Way Travel Stops — Practical notes for wayfarers — tolls, seasons, inns, and the unwritten rules of safe passage. Library catalogues list no certain author; the work is dated to before 1372 DR.\n\nExperienced caravans treat the counsel as suggestion only — but rookies who ignore it seldom return to disagree.	Unknown	before 1372 DR	common	Common	original		travel,trade,sword_coast	0		https://forgottenrealms.fandom.com/wiki/Trade_Way_Travel_Stops
The Trade of Blades	The Trade of Blades — Commercial wisdom dressed as prose — prices, routes, guild customs, and when to walk away from a deal. Augustavus Cale is credited in library catalogues; the work is dated to before 1372 DR.\n\nFactors along the Long Road keep folded excerpts in strongboxes next to their scales and seals.	Augustavus Cale	before 1372 DR	common	Common	original		neverwinter,trade,war	0		https://forgottenrealms.fandom.com/wiki/The_Trade_of_Blades
Tales Told by the Warm Fireside	Tales Told by the Warm Fireside — A popular tale in print — performed in taverns before it was ever bound between covers. Korin of Neverwinter is credited in library catalogues; the work is dated to 1334 DR.\n\nCritics call it low art; innkeepers call it excellent for business on rainy nights.	Korin of Neverwinter	1334 DR	common	Common	original		neverwinter,fiction,culture	0		https://forgottenrealms.fandom.com/wiki/Tales_Told_by_the_Warm_Fireside
